# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.017129474132497186e-02,7.141646921665922854e-02,6.002737957425813287e-02,5.031329341317365006e-02,-2.579633454852384350e-06,-2.171790204237057992e-06
1.745329251994329547e-02,9.954337899543378398e+01,5.003351596031577198e-02,1.435149160724411288e-01,1.203489974917408417e-01,5.030424979726789980e-02,4.463321002708336288e-03,3.757385363699660905e-03
3.490658503988659095e-02,9.908675799086756797e+01,4.989967052300593037e-02,2.163495588091504385e-01,1.809603808301034344e-01,5.027098456719000102e-02,2.098466633454841579e-02,1.766016611574239628e-02
5.235987755982988989e-02,9.863013698630136616e+01,4.976950038180795455e-02,2.899028401273816558e-01,2.418595532822823690e-01,5.021526277489678225e-02,4.900000191907491476e-02,4.121065670876845888e-02
6.981317007977318190e-02,9.817351598173515015e+01,4.964277437206025823e-02,3.642349304218663875e-01,3.030432370203182679e-01,5.013884947234513445e-02,8.813864326337965405e-02,7.404623031405924150e-02
8.726646259971647390e-02,9.771689497716894834e+01,4.951927964259571907e-02,4.392534839536267333e-01,3.645076591929692356e-01,5.004350971149195554e-02,1.381883404227423617e-01,1.159035783016804100e-01
1.047197551196597798e-01,9.726027397260273233e+01,4.939881882709740157e-02,5.150511963970259011e-01,4.262471876162940987e-01,4.993100854429406016e-02,1.990455808162581997e-01,1.665885118285597988e-01
1.221730476396030718e-01,9.680365296803653052e+01,4.928121004233178976e-02,5.916310399381887741e-01,4.882596635929261075e-01,4.980311102270836704e-02,2.706450900426891626e-01,2.259479603065522868e-01
1.396263401595463638e-01,9.634703196347031451e+01,4.916628688814878717e-02,6.689971985605260851e-01,5.505414851327682380e-01,4.966158219869172552e-02,3.530334286286291312e-01,2.938428165867849051e-01
1.570796326794896558e-01,9.589041095890409849e+01,4.905389794326717179e-02,7.471789418226170154e-01,6.130882807725783756e-01,4.950818712420099882e-02,4.461223415113162449e-01,3.701186606000728685e-01
1.745329251994329478e-01,9.543378995433789669e+01,4.894390242620559606e-02,8.261263341556893680e-01,6.758995972231529592e-01,4.934469085119310566e-02,5.499767296858033561e-01,4.545728213396288409e-01
1.919862177193762398e-01,9.497716894977168067e+01,4.883616798191889319e-02,9.059948120312265596e-01,7.389733158152803627e-01,4.917285843162488151e-02,6.645033755949928400e-01,5.469346925707697649e-01
2.094395102393195596e-01,9.452054794520547887e+01,4.873057066411738691e-02,9.866744226829070596e-01,8.023025702733057596e-01,4.899445491745319653e-02,7.895303197857147515e-01,6.468345982449416054e-01
2.268928027592628516e-01,9.406392694063926285e+01,4.862699493526689842e-02,1.068314305320679392e+00,8.658757256364338906e-01,4.881124536063491393e-02,9.248191060633885741e-01,7.537852501418667028e-01
2.443460952792061436e-01,9.360730593607306105e+01,4.852533366658873942e-02,1.150868298991458927e+00,9.296955083680797927e-01,4.862499481312694549e-02,1.069915502753722825e+00,8.671176773561742879e-01
2.617993877991494078e-01,9.315068493150684503e+01,4.842548813795932022e-02,1.234336524596925999e+00,9.937677374057926061e-01,4.843746832688614751e-02,1.224187139309835359e+00,9.860067609084741669e-01
2.792526803190927276e-01,9.269406392694062902e+01,4.832736721218783282e-02,1.318840807227736223e+00,1.058084072601114922e+00,4.825043095386937625e-02,1.386680420237055733e+00,1.109454136252698842e+00
2.967059728390360474e-01,9.223744292237442721e+01,4.823088450889623929e-02,1.404165868742213164e+00,1.122637078001066380e+00,4.806564774603350881e-02,1.556161326147405655e+00,1.236217410720800158e+00
3.141592653589793116e-01,9.178082191780821120e+01,4.813595780039561789e-02,1.490634633928761277e+00,1.187420221848145330e+00,4.788475030534902754e-02,1.731181645948824066e+00,1.364949771276542378e+00
3.316125578789226314e-01,9.132420091324200939e+01,4.804250901168614224e-02,1.578020529408709294e+00,1.252427876580326505e+00,4.770797476300282780e-02,1.911261062034397273e+00,1.495176916889282559e+00
3.490658503988658956e-01,9.086757990867579338e+01,4.795046422045708828e-02,1.666538983067390234e+00,1.317655318831062905e+00,4.753472583284749919e-02,2.096761674833961919e+00,1.627045746952719751e+00
3.665191429188092154e-01,9.041095890410957736e+01,4.785975365708684121e-02,1.756079408569772626e+00,1.383098729429284912e+00,4.736439716206318484e-02,2.288486949731762810e+00,1.760756122841257154e+00
3.839724354387524796e-01,8.995433789954337556e+01,4.777031170464288157e-02,1.846645605854371874e+00,1.448755193399400287e+00,4.719638239783003480e-02,2.487106963266185744e+00,1.896537265979745701e+00
4.014257279586957994e-01,8.949771689497715954e+01,4.768207689888179918e-02,1.938421587464381979e+00,1.514622647671937106e+00,4.703007518732817138e-02,2.693461014124628683e+00,2.034659290425459233e+00
4.188790204786391191e-01,8.904109589041095774e+01,4.759499192029850029e-02,2.031076434185066670e+00,1.580699012721665131e+00,4.686486917773775157e-02,2.908500923749511635e+00,2.175426768745355677e+00
4.363323129985823834e-01,8.858447488584474172e+01,4.750900283136171715e-02,2.125152209826949523e+00,1.646981477215400336e+00,4.670015801623894625e-02,3.133019944875362839e+00,2.319173478908866493e+00
4.537856055185257032e-01,8.812785388127853992e+01,4.742405769176399888e-02,2.220235413675474057e+00,1.713466476685457263e+00,4.653533535001187771e-02,3.368724819901549594e+00,2.466279118555869676e+00
4.712388980384689674e-01,8.767123287671232390e+01,4.734010641203037495e-02,2.316630842680854840e+00,1.780149746723647786e+00,4.636980908165701937e-02,3.616798804078126039e+00,2.617134025402509501e+00
4.886921905584122872e-01,8.721461187214610788e+01,4.725710075351835515e-02,2.414263581817989834e+00,1.847027102368405060e+00,4.620367390920396972e-02,3.877292691419370829e+00,2.771495767911078545e+00
5.061454830783556069e-01,8.675799086757990608e+01,4.717499432841793655e-02,2.513090152715199199e+00,1.914095029723803743e+00,4.603800204354138031e-02,4.149670585159091374e+00,2.928149529307287668e+00
5.235987755982988157e-01,8.630136986301369006e+01,4.709374259975158961e-02,2.613375307269112824e+00,1.981350649535120523e+00,4.587394037491530907e-02,4.431905080565708310e+00,3.085731573207974865e+00
5.410520681182421354e-01,8.584474885844748826e+01,4.701330288137426511e-02,2.714814048664592860e+00,2.048790771287835710e+00,4.571263579357191104e-02,4.721979193467740643e+00,3.242801204244850855e+00
