# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.32,36.82,179.93,12.19,36.64
1.00,5.61,32.73,187.14,24.97,38.12
2.00,5.39,36.36,175.47,19.51,47.96
3.00,5.82,35.91,175.03,14.07,42.50
4.00,6.35,36.82,182.63,12.40,34.15
5.00,6.26,37.27,186.08,13.06,31.82
6.00,6.25,34.55,199.99,22.83,24.95
7.00,6.33,33.64,194.66,15.60,22.14
8.00,5.92,31.82,186.71,18.72,32.76
9.00,5.79,34.09,183.29,16.67,35.03
10.00,6.23,37.27,184.90,13.17,33.11
11.00,6.05,35.00,194.23,16.14,24.46
12.00,6.17,34.09,192.74,15.26,24.17
13.00,6.18,36.82,178.96,12.52,37.94
14.00,5.81,32.73,187.76,20.09,32.62
15.00,5.72,33.18,195.96,22.56,27.33
16.00,5.55,33.64,181.66,22.67,42.20
17.00,5.72,35.00,175.98,15.28,41.86
18.00,6.14,36.36,182.41,13.83,35.34
19.00,5.91,35.45,186.50,15.20,31.71
20.00,5.63,35.45,183.57,18.32,37.76
21.00,5.60,35.91,181.88,16.17,37.76
22.00,5.79,34.55,185.60,17.93,34.44
23.00,5.98,35.91,194.85,15.31,23.93
24.00,5.41,36.36,178.88,20.07,45.11
25.00,5.86,32.73,193.86,21.02,27.45
26.00,5.56,33.18,181.18,24.39,43.94
27.00,5.69,32.73,197.24,24.07,27.11
28.00,5.77,32.73,194.46,21.64,27.47
29.00,6.26,35.91,188.56,13.61,28.52
30.00,5.64,32.73,188.18,23.13,35.23
31.00,5.88,33.18,195.56,20.14,25.32
32.00,6.32,36.82,180.23,12.48,36.63
33.00,5.88,35.91,192.96,15.49,26.00
34.00,6.12,32.73,192.36,17.23,25.15
35.00,5.51,36.36,180.77,19.21,42.35
36.00,6.01,35.00,189.93,14.87,27.50
37.00,6.03,35.91,203.42,15.05,21.94
38.00,5.46,36.82,176.87,17.70,45.19
39.00,6.15,36.82,178.46,12.64,38.55
40.00,5.82,33.18,199.74,20.87,21.88
41.00,5.63,35.45,194.05,22.16,31.12
42.00,5.74,33.64,183.94,17.60,34.86
43.00,5.48,36.82,185.48,19.06,37.95
44.00,5.70,35.00,197.52,21.48,26.51
45.00,5.78,32.27,196.30,21.77,25.76
46.00,5.54,33.18,179.70,24.16,45.21
47.00,5.53,33.64,182.25,24.58,43.52
48.00,5.95,35.00,199.52,17.79,20.83
49.00,6.04,34.09,200.01,21.30,22.96
50.00,6.30,33.18,182.87,14.40,32.27
51.00,6.00,32.73,186.60,16.91,30.59
52.00,5.97,33.64,182.13,14.74,33.81
53.00,5.58,35.00,178.51,19.29,43.33
54.00,5.41,36.36,176.54,19.58,46.96
55.00,5.91,33.18,198.04,19.38,22.08
56.00,5.46,36.36,179.13,21.13,45.92
57.00,5.63,34.55,187.07,22.40,37.43
58.00,5.94,32.27,180.89,16.48,35.88
59.00,5.55,35.91,191.22,19.87,32.11
60.00,6.05,35.91,190.92,14.21,26.76
61.00,5.69,35.45,190.67,17.67,30.01
62.00,5.75,33.18,181.55,17.00,36.19
63.00,5.44,36.82,176.15,18.19,46.41
64.00,6.24,35.45,176.60,12.74,39.16
65.00,6.28,37.27,188.37,12.95,29.41
66.00,6.25,33.64,197.84,15.87,19.23
67.00,5.59,32.73,187.12,24.80,37.96
68.00,5.71,33.18,182.52,19.00,37.23
69.00,5.44,35.91,179.06,19.49,43.89
70.00,5.69,32.73,189.40,20.73,31.61
71.00,6.10,35.91,182.10,13.52,34.89
72.00,6.34,32.73,193.20,15.76,22.85
73.00,5.51,33.64,177.52,21.98,45.65
74.00,6.13,33.64,179.40,14.57,36.36
75.00,5.43,36.36,177.72,19.65,45.85
76.00,5.74,33.18,196.09,23.77,28.41
77.00,5.62,32.73,184.17,22.77,38.89
78.00,6.14,35.45,200.22,16.86,20.10
79.00,5.49,34.09,176.19,22.93,48.39
