# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
147.00,5.17,62.10,67.97,12.92,67.11
148.00,4.98,50.68,79.99,20.24,50.98
149.00,5.87,46.58,89.98,18.27,34.92
150.00,4.52,47.95,64.97,18.48,61.50
151.00,5.62,49.77,88.67,21.34,42.49
152.00,3.98,59.36,51.61,13.80,81.59
153.00,5.33,54.79,51.66,6.30,69.48
154.00,5.26,41.10,55.82,18.90,64.23
155.00,5.00,42.92,68.31,24.59,59.26
156.00,5.82,56.16,90.95,13.47,38.75
157.00,4.79,44.75,57.05,17.49,65.23
158.00,5.78,51.14,85.46,17.03,42.76
159.00,5.99,57.53,96.32,12.32,33.59
160.00,4.97,43.84,70.87,22.43,55.45
161.00,6.21,42.47,92.10,24.24,34.67
162.00,3.85,62.10,73.42,16.21,64.93
163.00,5.80,56.16,66.52,9.73,59.43
164.00,6.12,52.97,91.19,16.48,38.32
165.00,5.91,55.25,54.65,5.30,65.96
166.00,5.22,62.10,68.72,13.06,66.50
167.00,5.93,56.62,96.18,14.22,34.72
168.00,4.25,62.56,87.47,17.50,52.63
169.00,6.32,55.25,83.39,11.03,42.96
170.00,6.14,48.40,55.30,10.18,63.35
171.00,5.47,43.84,84.58,24.76,44.07
172.00,6.15,54.79,78.35,15.28,51.79
173.00,5.53,55.71,59.81,8.09,64.04
174.00,5.38,52.51,95.70,22.82,39.68
175.00,5.84,55.25,66.16,5.99,55.14
176.00,5.42,43.38,82.73,24.68,45.39
177.00,5.03,55.71,50.58,6.71,71.89
178.00,4.86,42.92,67.24,21.85,57.57
179.00,5.29,56.16,55.91,7.00,67.30
180.00,3.92,62.56,78.05,15.90,60.45
181.00,5.78,43.84,79.62,21.96,46.23
182.00,3.57,53.42,51.15,14.31,76.63
183.00,6.11,41.10,88.14,23.82,36.84
184.00,4.09,59.36,70.30,16.98,66.08
185.00,6.20,56.62,70.13,8.18,54.73
186.00,4.12,51.60,58.70,18.95,71.89
187.00,4.47,61.19,98.39,18.31,41.15
188.00,6.18,40.64,74.67,24.88,50.91
189.00,4.88,56.16,98.24,24.73,42.70
190.00,3.69,52.05,50.64,15.14,76.60
191.00,4.89,59.36,53.02,9.29,75.68
192.00,4.72,49.77,76.13,20.89,54.58
193.00,3.79,51.60,55.49,16.04,72.18
194.00,6.17,55.71,77.91,10.87,48.73
195.00,5.06,52.51,80.25,20.10,52.41
196.00,5.58,41.10,90.46,24.91,35.61
197.00,4.36,38.36,56.10,22.00,67.59
198.00,6.31,55.71,95.77,12.78,32.78
199.00,5.46,55.25,53.41,6.79,68.69
