# Index,Max Radius,Max Force Percentage,Max Force,Sitting Force,Total Error
175.00,0.06,33.64,141.67,26.76,61.29
176.00,0.06,35.91,132.59,23.01,68.90
177.00,0.06,35.91,132.08,23.15,69.53
178.00,0.06,34.09,135.14,26.18,67.70
179.00,0.06,35.00,128.43,23.40,72.53
180.00,0.06,35.91,131.97,23.26,69.76
181.00,0.06,34.09,136.89,26.09,65.85
182.00,0.06,34.09,136.59,25.55,65.61
183.00,0.06,33.64,141.99,26.78,60.98
184.00,0.06,35.91,129.18,22.50,71.79
185.00,0.06,35.00,136.66,24.91,65.81
186.00,0.06,34.09,136.39,26.02,66.28
187.00,0.06,33.64,136.54,25.67,65.33
188.00,0.06,35.45,138.76,25.10,64.35
189.00,0.06,34.09,134.90,25.12,66.88
190.00,0.06,34.55,135.44,24.76,66.43
191.00,0.06,34.55,130.50,24.97,71.57
192.00,0.06,35.91,127.59,22.77,73.65
193.00,0.06,36.36,127.47,22.13,73.59
194.00,0.06,35.91,126.95,22.50,74.02
195.00,0.06,35.91,130.63,22.78,70.62
196.00,0.06,33.64,138.60,26.09,63.68
197.00,0.06,36.36,131.96,23.20,70.16
198.00,0.06,35.91,130.03,22.79,71.22
199.00,0.06,36.36,126.52,21.98,74.38
