# angles(rad), pulling distance(m),                                     elastic band force(n), cable force(n)
0.000000000000000000e+00 3.027325384956219010e-04 2.325540492331637857e-02 1.786441129965383318e-02
1.745329251994329547e-02 5.973735602624385488e-04 4.694020668138144947e-02 3.773301772660130060e-02
3.490658503988659095e-02 8.844028659148428203e-04 7.107850681902815049e-02 5.977488351002107486e-02
5.235987755982988295e-02 1.164296016718277581e-03 9.569558057615148994e-02 8.416587395981936504e-02
6.981317007977318190e-02 1.437459099761479982e-03 1.208186322344465824e-01 1.111179704480967090e-01
8.726646259971647390e-02 1.704165052530413286e-03 1.464768696182039420e-01 1.409169256581864205e-01
1.047197551196597659e-01 1.964571349525196572e-03 1.727017643046253048e-01 1.739238118784315057e-01
1.221730476396030718e-01 2.218809670297890949e-03 1.995272703260592695e-01 2.105276645670342284e-01
1.396263401595463638e-01 2.467010135514721789e-03 2.269896628798987182e-01 2.511550178693519597e-01
1.570796326794896558e-01 2.709317329833490096e-03 2.551212505582038381e-01 2.961928492818612368e-01
1.745329251994329478e-01 2.945878582228159213e-03 2.839394926824573839e-01 3.458992952535277499e-01
1.919862177193762398e-01 3.176843078956123265e-03 3.134516027742265121e-01 4.005212203852295261e-01
2.094395102393195318e-01 3.402355624619881128e-03 3.436739247617996984e-01 4.605785448571319551e-01
2.268928027592628516e-01 3.622545518921249739e-03 3.746198498980153890e-01 5.264981785956684979e-01
2.443460952792061436e-01 3.837547843089239227e-03 4.062971021473028577e-01 5.986156588157849345e-01
2.617993877991494078e-01 4.047512020702436798e-03 4.387218217857251634e-01 6.775170999343773648e-01
2.792526803190927276e-01 4.252586692438172812e-03 4.719083948570395037e-01 7.636741434881326729e-01
2.967059728390360474e-01 4.452908044358769475e-03 5.058633493955035920e-01 8.574506345288611664e-01
3.141592653589793116e-01 4.648609946381122501e-03 5.406023083509203797e-01 9.596207909548675197e-01
3.316125578789225758e-01 4.839841220896923257e-03 5.761405392562561900e-01 1.070693879432451867e+00
3.490658503988658956e-01 5.026750160629422925e-03 6.124871320180100831e-01 1.191051663507046721e+00
3.665191429188092154e-01 5.209464460841653488e-03 6.496532397536608494e-01 1.321466479167397567e+00
3.839724354387524796e-01 5.388125487300180795e-03 6.876533389372559979e-01 1.462596269680106920e+00
4.014257279586957439e-01 5.562884297126202693e-03 7.265012047037940901e-01 1.614969872343378743e+00
4.188790204786390636e-01 5.733888260044081239e-03 7.662105205424404319e-01 1.779239208258860394e+00
4.363323129985823834e-01 5.901312271247685474e-03 8.067904392206528552e-01 1.955483576015807134e+00
4.537856055185257032e-01 6.065356294797455590e-03 8.482528521611638617e-01 2.143973871965043632e+00
4.712388980384689674e-01 6.226204688265231206e-03 8.906109123212081480e-01 2.345348299101994716e+00
