# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.35,32.27,184.53,19.62,35.38
1.00,6.24,32.27,175.54,18.82,43.57
2.00,5.63,33.18,195.05,25.00,30.69
3.00,5.62,36.82,181.78,21.50,44.09
4.00,5.16,34.55,175.31,22.37,49.16
5.00,6.03,32.73,200.01,23.33,23.63
6.00,5.32,35.45,175.00,21.31,49.32
7.00,6.32,31.82,175.91,18.88,43.72
8.00,5.51,35.91,193.05,23.53,33.95
9.00,5.98,33.64,200.38,23.04,24.62
10.00,5.74,34.09,194.89,23.52,30.27
11.00,5.36,34.55,185.19,22.93,39.84
12.00,5.38,35.00,188.27,23.29,37.57
13.00,5.44,36.36,183.86,22.45,42.51
14.00,5.42,35.00,179.49,21.80,44.87
15.00,5.52,35.91,191.98,23.36,34.85
16.00,5.64,36.82,191.11,22.86,36.13
17.00,5.69,36.36,189.65,22.28,36.55
18.00,6.13,32.73,196.95,21.93,25.27
19.00,5.32,35.45,184.35,22.82,41.48
20.00,5.96,33.64,194.94,21.93,28.18
21.00,5.69,34.09,185.03,21.12,37.74
22.00,5.60,34.09,198.97,24.67,27.35
23.00,5.42,34.09,197.09,24.92,29.47
24.00,6.27,32.27,178.69,19.24,40.84
25.00,6.16,32.27,177.99,19.09,41.39
26.00,5.46,34.55,190.08,23.70,35.72
27.00,5.90,33.18,183.44,20.67,37.98
28.00,5.58,33.18,191.19,23.87,33.42
29.00,6.28,32.73,198.70,21.66,23.25
30.00,5.84,33.64,185.92,21.62,36.90
31.00,5.59,34.55,198.51,24.60,28.19
32.00,5.98,32.73,177.70,19.37,41.95
33.00,6.26,32.73,194.27,20.99,27.01
34.00,5.41,32.73,175.72,21.39,45.95
35.00,5.17,34.09,177.12,23.11,47.63
36.00,5.93,33.64,187.53,20.96,34.63
37.00,5.28,34.09,188.05,24.51,38.10
38.00,5.20,34.55,176.28,22.08,47.90
39.00,6.02,32.73,193.35,22.38,29.31
40.00,5.89,32.73,176.24,19.59,43.63
41.00,5.61,33.64,190.16,23.31,34.34
42.00,5.69,36.36,191.58,22.45,34.79
43.00,6.04,33.18,192.18,21.18,29.74
44.00,5.37,35.45,190.46,23.98,36.53
45.00,5.68,34.55,198.23,23.60,27.47
46.00,6.31,32.27,183.72,19.62,36.20
47.00,6.21,33.18,192.76,21.09,29.08
48.00,5.18,34.55,176.38,22.69,48.41
