# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,6.14,39.27,60.00,20.42,27.26
1.00,4.37,32.42,43.71,25.00,41.41
2.00,6.35,36.99,57.43,13.68,20.81
3.00,4.01,39.73,44.12,23.67,46.82
4.00,3.87,39.73,40.09,21.52,48.70
5.00,5.38,38.36,40.90,9.68,34.70
6.00,5.33,37.90,40.01,9.82,35.26
7.00,5.55,37.44,42.79,10.49,32.69
8.00,3.91,38.81,41.29,23.05,48.12
9.00,5.00,36.53,50.66,21.98,35.40
10.00,5.27,36.07,40.96,10.75,33.42
11.00,5.84,39.27,50.87,12.39,28.35
12.00,3.88,39.73,40.15,21.56,48.67
13.00,4.81,30.14,44.26,20.96,39.11
14.00,4.93,37.44,44.37,13.64,34.26
15.00,5.53,38.81,54.14,15.86,28.08
16.00,5.06,35.62,45.03,17.77,35.90
17.00,4.39,35.62,44.93,23.09,41.32
18.00,5.42,37.90,51.25,15.60,29.80
19.00,5.98,36.99,58.63,15.74,21.66
20.00,5.25,35.16,42.13,13.93,34.51
21.00,5.22,36.07,44.19,13.02,32.46
22.00,5.89,38.36,57.57,15.44,23.78
23.00,4.45,34.70,41.81,20.08,40.52
24.00,4.36,33.33,42.91,23.35,41.33
25.00,5.90,36.53,47.98,13.09,29.20
26.00,5.31,34.25,43.13,15.48,34.14
27.00,4.47,31.96,42.47,23.19,41.30
28.00,4.88,31.05,42.39,18.66,37.78
29.00,4.93,32.88,46.49,23.48,37.42
30.00,4.73,35.16,42.39,17.53,37.84
31.00,5.37,34.25,44.56,14.71,31.95
32.00,4.66,35.16,41.70,16.74,37.75
33.00,5.40,32.42,48.47,22.83,34.50
34.00,5.04,31.51,48.08,24.44,37.41
35.00,4.85,31.51,46.56,22.35,36.83
36.00,5.74,33.79,53.27,20.19,28.27
37.00,5.04,34.70,52.25,23.97,33.97
38.00,5.84,33.79,58.40,18.35,21.30
39.00,6.26,33.33,49.26,13.53,25.17
40.00,4.52,35.16,49.66,24.40,37.44
41.00,3.96,39.27,41.82,22.45,47.44
42.00,6.30,37.44,56.44,14.84,23.41
43.00,5.65,37.90,47.81,11.19,28.84
44.00,6.07,34.70,51.03,15.26,26.49
45.00,5.01,35.16,43.67,17.26,36.30
46.00,4.62,32.42,43.44,21.60,38.29
47.00,5.08,31.05,45.12,19.91,36.29
48.00,4.08,39.27,45.51,24.23,45.53
49.00,4.99,39.27,52.64,17.80,31.98
50.00,4.25,35.62,45.56,24.37,41.98
51.00,5.94,33.33,58.51,19.86,22.25
52.00,4.63,37.90,54.90,23.59,34.14
53.00,4.05,39.27,40.19,20.28,46.90
54.00,5.75,32.88,51.52,19.31,28.22
55.00,4.69,33.79,40.26,17.01,38.08
56.00,5.44,37.44,54.59,19.69,30.09
57.00,4.46,31.96,41.93,22.87,41.52
58.00,4.80,36.07,47.02,18.98,35.59
59.00,4.34,34.70,41.38,20.50,41.37
60.00,4.44,33.33,43.91,23.00,39.97
61.00,6.17,34.70,51.88,15.34,25.72
62.00,4.95,33.33,50.24,24.63,35.27
63.00,5.49,33.79,54.71,22.12,28.75
64.00,5.70,36.99,55.90,16.47,25.11
65.00,4.21,37.44,41.98,21.12,44.12
66.00,5.72,34.25,53.30,17.40,25.91
67.00,4.84,37.44,40.58,13.20,37.62
68.00,5.59,36.07,56.62,17.87,24.88
69.00,5.91,35.16,57.95,17.69,22.46
70.00,4.40,37.44,46.68,21.30,39.61
71.00,4.00,37.90,40.59,24.84,49.68
72.00,6.01,38.81,59.51,18.03,24.89
73.00,4.28,32.42,40.40,24.81,44.54
74.00,5.86,34.70,57.06,18.23,23.44
75.00,5.44,38.36,41.93,10.09,34.07
76.00,5.82,32.88,56.84,19.40,23.00
77.00,6.03,33.33,48.85,15.81,27.85
78.00,6.19,37.90,55.34,14.27,24.39
79.00,5.23,35.16,48.69,18.46,32.48
80.00,5.62,37.90,54.31,14.62,25.76
81.00,6.00,39.27,53.69,13.33,26.46
82.00,5.20,38.36,54.36,21.81,33.35
83.00,6.28,38.36,56.81,13.49,22.60
84.00,6.22,36.53,59.32,17.71,22.48
85.00,4.31,39.73,46.23,20.57,41.61
86.00,5.21,36.53,44.43,12.67,32.33
87.00,5.52,37.44,47.18,11.63,29.45
88.00,5.19,36.07,41.12,11.42,33.93
89.00,5.67,36.53,54.23,16.13,26.00
90.00,4.50,35.16,42.17,19.90,40.44
91.00,5.31,35.62,46.38,17.46,34.25
92.00,5.33,37.90,40.48,10.18,35.16
93.00,5.37,36.99,41.42,10.28,33.40
94.00,5.32,35.16,40.71,12.14,34.15
95.00,4.77,36.99,41.10,13.75,37.18
