# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
136.00,5.48,35.00,201.08,21.91,25.54
137.00,4.39,33.64,196.98,24.46,28.66
138.00,5.58,36.82,191.29,18.98,32.06
139.00,4.73,36.36,185.18,21.65,40.38
140.00,5.63,34.55,193.23,20.12,28.99
141.00,4.38,32.73,196.67,24.55,28.15
142.00,5.59,35.45,189.01,19.53,33.53
143.00,4.93,35.91,187.33,21.52,37.65
144.00,4.28,32.27,188.39,24.25,36.13
145.00,5.45,35.00,179.10,18.24,41.70
146.00,5.82,34.09,199.85,19.60,21.40
147.00,5.51,33.18,184.40,20.77,37.10
148.00,4.86,36.36,188.34,22.18,37.75
149.00,5.52,33.18,184.55,20.79,36.97
150.00,5.56,36.82,190.91,19.50,32.96
151.00,4.75,36.36,187.60,21.70,38.01
152.00,5.57,33.64,179.15,18.95,40.99
153.00,5.77,34.09,197.42,20.15,24.38
154.00,4.18,32.73,192.45,24.97,32.80
155.00,5.13,35.45,186.26,20.35,37.09
156.00,5.61,34.09,186.90,19.61,34.36
157.00,5.38,37.27,189.67,19.20,34.36
158.00,4.85,35.91,185.58,22.23,40.11
159.00,5.47,35.00,179.86,18.30,41.00
160.00,4.11,32.27,182.43,24.18,42.02
161.00,5.04,35.91,196.69,21.84,28.61
162.00,5.37,33.64,180.20,20.36,41.35
163.00,4.76,36.82,187.88,21.44,37.92
164.00,5.64,35.45,179.49,17.92,41.44
165.00,4.47,32.27,198.29,23.99,25.97
166.00,4.45,33.18,192.52,23.25,31.46
167.00,4.82,35.45,180.46,22.31,44.85
168.00,5.77,33.64,194.37,22.75,29.58
169.00,4.55,32.73,198.15,23.86,25.98
170.00,5.31,35.00,176.53,18.30,44.32
171.00,5.05,36.82,195.03,21.74,31.09
172.00,5.38,34.55,177.25,19.29,44.14
173.00,4.75,36.36,185.77,21.30,39.44
174.00,5.32,33.64,193.38,21.72,29.52
175.00,4.13,32.27,185.89,24.04,38.41
176.00,5.48,33.64,197.04,23.15,27.30
177.00,5.42,37.27,201.42,20.39,26.63
178.00,5.68,35.45,197.37,19.22,24.87
179.00,4.99,35.91,183.12,19.74,40.08
180.00,5.17,36.82,201.64,20.83,26.83
181.00,5.74,34.09,190.83,19.19,30.01
182.00,5.84,33.64,201.58,19.80,22.57
183.00,5.62,35.45,192.83,18.71,28.89
184.00,4.23,33.64,196.81,24.99,29.36
185.00,4.29,32.73,186.55,23.49,37.21
186.00,3.95,33.18,179.67,24.28,45.33
187.00,5.18,37.27,184.69,18.55,38.68
188.00,4.37,32.73,183.98,23.04,39.33
189.00,5.04,34.55,184.14,20.98,38.93
190.00,5.40,33.64,190.96,21.19,31.43
191.00,4.18,32.73,191.01,24.85,34.11
192.00,5.76,34.55,197.99,20.16,24.27
193.00,5.57,34.55,187.41,19.17,33.86
194.00,5.83,34.09,196.96,19.37,24.06
195.00,5.33,37.27,184.42,18.42,38.82
196.00,5.17,36.82,175.75,18.12,46.74
197.00,4.99,36.82,193.03,21.78,33.12
198.00,4.37,33.18,205.87,24.91,31.51
199.00,4.57,32.73,189.04,23.07,34.30
