# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
0.000000000000000000e+00,1.000000000000000000e+02,5.031329341317365006e-02,5.583914489983387019e-01,8.712404702312478988e-02,5.031329341317365006e-02,5.583914489983385909e-01,8.712404702312478988e-02
1.745329251994329547e-02,9.954545454545454675e+01,4.981595660698371481e-02,1.138151628334052479e+00,1.748212871024871773e-01,5.030434701831434235e-02,5.686478576198357171e-01,8.869896216053967108e-02
3.490658503988659095e-02,9.909090909090909349e+01,4.931705212909324315e-02,1.738699928555820229e+00,2.630746993818075530e-01,5.027139069520356052e-02,6.064850844819246189e-01,9.450142228573485403e-02
5.235987755982988295e-02,9.863636363636362603e+01,4.881664255388738077e-02,2.358837998711072803e+00,3.518506576345265535e-01,5.021616554049223441e-02,6.700833092865555729e-01,1.042276579525825142e-01
6.981317007977318190e-02,9.818181818181817277e+01,4.831479097330868694e-02,2.998081738616524827e+00,4.411321507984909407e-01,5.014041265083117593e-02,7.577158346532322231e-01,1.175752965533251038e-01
8.726646259971647390e-02,9.772727272727271952e+01,4.781156074154050556e-02,3.655448031153732291e+00,5.308970955675268444e-01,5.004587312287121781e-02,8.677174825588340745e-01,1.342428258760829940e-01
1.047197551196597659e-01,9.727272727272726627e+01,4.730701496673939827e-02,4.329866995620909265e+00,6.211208905674791003e-01,4.993428805326320663e-02,9.984545887711054890e-01,1.539290977533507021e-01
1.221730476396030718e-01,9.681818181818181301e+01,4.680121680079786517e-02,5.020490311689758123e+00,7.117821924903503517e-01,4.980739853865797512e-02,1.148296673223718312e+00,1.763328858391444709e-01
1.396263401595463638e-01,9.636363636363635976e+01,4.629422659721876138e-02,5.726366349158563906e+00,8.028603626884296407e-01,4.966694567570639068e-02,1.315590061713675318e+00,2.011525071399492270e-01
1.570796326794896558e-01,9.590909090909090651e+01,4.578611128967302601e-02,6.446221351490038387e+00,8.943315085396875697e-01,4.951467056105929299e-02,1.498633941105165235e+00,2.280855128904280826e-01
1.745329251994329478e-01,9.545454545454545325e+01,4.527696875658370618e-02,7.178892038948013976e+00,9.861716895029799534e-01,4.935231429136749393e-02,1.695659494539273560e+00,2.568284507886479107e-01
1.919862177193762398e-01,9.500000000000000000e+01,4.476695211896381671e-02,7.923225929943669144e+00,1.078357472820726137e+00,4.918161796328189561e-02,1.904818025252953184e+00,2.870767908796253987e-01
2.094395102393195318e-01,9.454545454545454675e+01,4.425626087392672131e-02,8.678041826005802761e+00,1.170865816801291093e+00,4.900432267345327525e-02,2.124212353295018563e+00,3.185255054451173184e-01
2.268928027592628516e-01,9.409090909090909349e+01,4.374506371484286615e-02,9.442093301764600710e+00,1.263673642461911051e+00,4.882216951853253495e-02,2.351893497891601736e+00,3.508687652585164019e-01
2.443460952792061436e-01,9.363636363636364024e+01,4.323350991219186007e-02,1.021410577397346309e+01,1.356757870864675919e+00,4.863689959517046579e-02,2.585833633097618822e+00,3.837994501660549340e-01
2.617993877991494078e-01,9.318181818181817277e+01,4.272175704955508135e-02,1.099278101082823866e+01,1.450095461629929527e+00,4.845025400001798377e-02,2.823872832045939418e+00,4.170086943043899708e-01
2.792526803190927276e-01,9.272727272727271952e+01,4.220998526606715984e-02,1.177679651176176279e+01,1.543663412936268076e+00,4.826397382972585914e-02,3.063740764962196828e+00,4.501862211770619737e-01
2.967059728390360474e-01,9.227272727272726627e+01,4.169836815654614365e-02,1.256480823690192317e+01,1.637438761520542130e+00,4.807980018094494545e-02,3.303082810165475003e+00,4.830205032420409883e-01
