# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
169,5.37,34.55,193.71,19.03,27.42
170,5.9,30.45,187.49,17.05,31.66
171,4.47,37.27,193.88,22.96,33.9
172,5.64,33.64,191.67,17.8,27.32
173,4.94,33.64,201.62,22.77,25.57
174,6.34,31.82,179,15.23,36.98
175,5.94,31.82,192.37,17.06,25.43
176,5.63,30.91,198.42,18.71,21.94
177,4.35,35.45,188.93,24.19,38.26
178,6.32,31.36,179.14,15.19,37.25
179,4.25,36.82,182.59,23.87,45.64
180,6.34,31.36,178.98,15.09,37.31
181,4.3,36.82,178.44,21.99,47.91
182,4.26,36.82,182.74,24.03,45.65
183,5.19,35.45,184.04,18.63,37.59
184,4.33,35.45,188.6,24.3,38.71
185,4.88,36.82,201.52,21.4,27.28
186,5.51,32.27,179.04,17.35,38.59
187,5.18,34.55,186.59,19.1,34.6
188,4.71,32.27,193.24,22.79,29.82
189,4.58,37.27,190.55,21.34,35.61
190,5.45,33.18,176.83,17.26,41.16
191,4.2,35.91,176.73,23.83,50.55
192,4.76,35,192.47,21,31.08
193,4.41,37.27,188.28,22.41,38.95
194,4.67,32.73,183.06,20.98,38.19
195,4.7,32.73,182.81,20.92,38.38
196,6.13,33.64,202.39,17.21,20.79
197,4.3,35.91,189.02,24.08,38.51
198,4.46,37.27,183.94,20.9,41.78
199,4.79,33.18,175.72,19.75,44.76
