X,Y
-1.40E+01,-1.02E+01
-1.40E+01,-1.06E+01
-1.40E+01,-1.09E+01
-1.40E+01,-1.13E+01
-1.39E+01,-1.17E+01
-1.39E+01,-1.21E+01
-1.38E+01,-1.24E+01
-1.37E+01,-1.28E+01
-1.36E+01,-1.31E+01
-1.35E+01,-1.35E+01
-1.33E+01,-1.38E+01
-1.32E+01,-1.41E+01
-1.30E+01,-1.45E+01
-1.29E+01,-1.48E+01
-1.27E+01,-1.51E+01
-1.25E+01,-1.54E+01
-1.23E+01,-1.57E+01
-1.21E+01,-1.60E+01
-1.18E+01,-1.63E+01
-1.16E+01,-1.65E+01
-1.13E+01,-1.68E+01
-1.11E+01,-1.71E+01
-1.08E+01,-1.73E+01
-1.05E+01,-1.75E+01
-1.02E+01,-1.77E+01
-9.94E+00,-1.79E+01
-9.64E+00,-1.81E+01
-9.33E+00,-1.83E+01
-9.01E+00,-1.85E+01
-8.69E+00,-1.86E+01
-8.36E+00,-1.88E+01
-8.03E+00,-1.89E+01
-7.69E+00,-1.90E+01
-7.34E+00,-1.91E+01
-6.99E+00,-1.92E+01
-6.64E+00,-1.93E+01
-6.29E+00,-1.94E+01
-5.93E+00,-1.94E+01
-5.57E+00,-1.94E+01
-5.21E+00,-1.95E+01
-4.85E+00,-1.95E+01
-4.49E+00,-1.95E+01
-4.13E+00,-1.94E+01
-3.77E+00,-1.94E+01
-3.41E+00,-1.93E+01
-3.05E+00,-1.93E+01
-2.70E+00,-1.92E+01
-2.35E+00,-1.91E+01
-2.00E+00,-1.90E+01
-1.65E+00,-1.89E+01
-1.31E+00,-1.87E+01
-9.76E-01,-1.86E+01
-6.46E-01,-1.85E+01
-3.20E-01,-1.84E+01
-3.35E-15,-1.82E+01
3.15E-01,-1.81E+01
6.26E-01,-1.79E+01
9.31E-01,-1.78E+01
1.23E+00,-1.76E+01
1.53E+00,-1.75E+01
1.82E+00,-1.73E+01
2.11E+00,-1.71E+01
2.39E+00,-1.70E+01
2.66E+00,-1.68E+01
2.94E+00,-1.67E+01
3.20E+00,-1.65E+01
3.47E+00,-1.63E+01
3.73E+00,-1.61E+01
3.98E+00,-1.60E+01
4.23E+00,-1.58E+01
4.47E+00,-1.56E+01
4.71E+00,-1.54E+01
4.95E+00,-1.52E+01
5.18E+00,-1.51E+01
5.41E+00,-1.49E+01
5.64E+00,-1.47E+01
5.86E+00,-1.45E+01
6.07E+00,-1.43E+01
6.28E+00,-1.41E+01
6.49E+00,-1.39E+01
6.70E+00,-1.37E+01
6.90E+00,-1.35E+01
7.09E+00,-1.33E+01
7.29E+00,-1.32E+01
7.49E+00,-1.30E+01
7.68E+00,-1.28E+01
7.87E+00,-1.26E+01
8.06E+00,-1.24E+01
8.25E+00,-1.22E+01
8.43E+00,-1.20E+01
8.62E+00,-1.19E+01
8.81E+00,-1.17E+01
8.99E+00,-1.15E+01
9.17E+00,-1.13E+01
9.36E+00,-1.12E+01
9.54E+00,-1.10E+01
9.72E+00,-1.08E+01
9.91E+00,-1.06E+01
1.01E+01,-1.04E+01
1.03E+01,-1.03E+01
1.05E+01,-1.01E+01
1.06E+01,-9.92E+00
1.08E+01,-9.74E+00
1.10E+01,-9.56E+00
1.12E+01,-9.38E+00
1.14E+01,-9.21E+00
1.16E+01,-9.03E+00
1.17E+01,-8.85E+00
1.19E+01,-8.67E+00
1.21E+01,-8.48E+00
1.23E+01,-8.30E+00
1.25E+01,-8.11E+00
1.27E+01,-7.93E+00
1.29E+01,-7.74E+00
1.31E+01,-7.55E+00
1.33E+01,-7.36E+00
1.35E+01,-7.17E+00
1.37E+01,-6.97E+00
1.39E+01,-6.77E+00
1.41E+01,-6.57E+00
1.43E+01,-6.37E+00
1.45E+01,-6.16E+00
1.47E+01,-5.95E+00
1.49E+01,-5.74E+00
1.52E+01,-5.52E+00
1.54E+01,-5.30E+00
1.56E+01,-5.08E+00
1.59E+01,-4.85E+00
1.61E+01,-4.62E+00
1.64E+01,-4.38E+00
