# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
0.00,4.28,35.45,87.71,12.38,27.67
1.00,6.34,32.73,100.02,8.67,8.98
2.00,5.80,34.09,88.15,7.89,21.38
3.00,5.02,37.27,99.93,9.64,14.54
4.00,5.78,33.18,100.00,9.85,10.59
5.00,4.46,35.00,95.90,12.46,19.10
6.00,4.74,32.27,87.52,10.29,23.04
7.00,4.34,34.55,87.85,11.49,25.73
8.00,4.29,35.00,88.15,11.71,26.10
9.00,4.30,36.36,87.84,10.95,27.01
10.00,4.55,35.45,98.94,12.03,16.10
11.00,4.78,36.82,102.57,10.46,17.39
12.00,4.84,31.82,96.01,10.76,15.47
13.00,4.74,34.55,93.91,10.39,18.57
14.00,4.56,36.36,96.82,11.30,18.39
15.00,4.43,35.91,94.41,11.62,20.67
16.00,5.51,30.91,103.39,9.02,14.06
17.00,5.88,33.64,90.04,8.12,19.27
18.00,5.48,36.82,91.39,8.21,21.19
19.00,5.62,37.27,93.10,8.24,19.97
20.00,4.85,35.91,88.80,9.24,23.89
21.00,4.56,35.45,95.76,11.56,18.80
22.00,4.91,31.36,91.00,9.99,20.18
23.00,5.72,32.73,98.55,9.13,10.87
24.00,4.51,35.00,95.13,12.31,19.72
25.00,6.10,33.18,93.05,8.09,15.78
26.00,4.42,36.82,95.64,11.25,19.97
27.00,5.22,33.18,91.66,9.36,18.43
28.00,4.53,35.91,96.95,11.92,18.43
29.00,4.99,35.45,89.35,9.05,22.70
30.00,4.82,35.45,94.94,10.26,18.32
31.00,5.83,34.09,97.32,8.54,12.87
32.00,6.28,32.73,100.07,8.72,9.08
33.00,4.74,32.27,97.95,12.21,14.53
34.00,4.39,35.00,94.77,12.28,20.06
35.00,4.31,36.36,88.75,11.98,27.14
36.00,5.28,30.91,94.70,8.58,15.52
37.00,6.19,34.55,100.12,8.56,10.79
38.00,4.69,35.00,95.36,10.49,17.68
39.00,5.17,30.91,89.55,8.01,20.10
40.00,5.02,37.27,98.43,9.47,15.86
41.00,5.13,32.27,95.46,9.71,14.53
42.00,5.14,31.82,90.93,8.69,18.49
43.00,5.26,36.36,98.26,8.87,14.54
44.00,5.19,31.36,92.13,8.26,17.32
45.00,4.67,33.64,96.20,10.80,15.78
46.00,4.79,33.18,89.01,9.69,21.41
47.00,4.54,32.73,93.42,12.33,19.18
48.00,5.66,33.18,94.01,8.46,15.19
49.00,5.87,33.18,87.57,7.92,21.09
50.00,5.34,32.73,98.74,9.90,11.44
51.00,5.60,33.18,88.86,8.19,20.07
52.00,5.58,33.64,97.51,9.08,12.76
53.00,4.77,33.18,89.72,10.43,21.44
54.00,5.31,31.36,93.35,9.03,16.87
55.00,4.78,35.00,90.17,10.09,22.47
56.00,5.04,34.09,91.73,9.76,19.67
57.00,5.06,32.73,93.55,9.67,16.39
58.00,4.93,34.09,97.15,10.61,15.10
59.00,4.97,35.91,97.77,10.19,15.88
60.00,4.36,35.45,90.44,11.36,23.92
61.00,5.40,33.18,98.48,9.83,12.09
62.00,4.68,33.18,92.64,10.73,18.82
63.00,4.41,37.27,90.79,10.65,24.68
64.00,5.01,32.73,96.69,10.32,13.91
65.00,5.37,35.00,97.68,9.40,14.28
66.00,4.81,35.91,99.18,10.60,14.88
67.00,4.48,35.45,96.45,12.07,18.62
68.00,5.24,34.09,94.13,8.68,16.20
69.00,6.23,32.73,98.12,8.61,10.78
70.00,5.57,32.73,99.79,9.59,10.08
71.00,4.39,36.82,91.86,10.88,23.38
72.00,6.07,33.18,92.14,8.04,16.65
73.00,5.74,32.73,99.06,9.16,10.39
74.00,5.71,32.73,87.94,8.23,20.58
75.00,4.33,35.91,89.96,11.77,25.26
76.00,4.82,35.00,98.04,10.52,15.03
77.00,5.86,34.09,95.73,8.48,14.39
78.00,6.17,32.73,96.79,8.50,12.00
79.00,4.71,32.27,94.38,11.14,17.03
80.00,4.85,32.27,96.52,11.07,14.82
81.00,4.78,34.09,101.38,11.01,14.03
82.00,5.93,32.73,99.51,8.81,9.59
83.00,4.44,34.09,94.54,12.14,19.24
84.00,5.62,33.18,89.83,8.48,19.38
85.00,5.54,31.82,89.07,8.13,19.80
86.00,6.31,32.73,99.89,8.65,9.05
87.00,5.29,35.00,96.45,8.99,15.09
88.00,5.06,30.91,93.11,9.98,18.51
89.00,4.72,36.82,90.24,10.00,24.12
90.00,5.08,32.73,93.66,9.64,16.26
91.00,5.98,32.73,97.07,8.54,11.75
92.00,4.51,33.64,92.86,10.58,18.90
93.00,5.51,32.73,88.35,8.40,20.33
94.00,4.52,36.82,100.17,11.53,16.07
95.00,5.53,37.27,98.35,8.80,15.28
96.00,6.14,33.64,99.64,8.51,10.06
97.00,5.32,37.27,92.40,8.37,20.80
98.00,4.51,35.45,97.48,12.15,17.67
99.00,5.37,33.64,97.90,9.55,12.84
100.00,6.02,33.18,88.63,8.05,20.16
101.00,6.24,32.27,99.25,8.62,9.66
102.00,5.30,30.91,95.18,8.60,15.07
103.00,5.73,33.64,100.34,9.29,10.83
104.00,4.38,32.73,90.57,11.66,21.36
105.00,4.39,32.73,90.70,11.66,21.23
106.00,4.46,35.00,95.86,12.42,19.10
107.00,5.69,33.18,94.46,8.70,14.98
108.00,4.55,32.27,91.71,11.87,20.43
109.00,6.17,32.73,95.76,8.45,12.98
110.00,4.55,35.91,94.25,10.95,20.16
111.00,5.47,37.27,99.43,8.85,14.24
112.00,5.18,30.91,92.54,9.43,18.53
113.00,4.44,34.55,94.36,11.80,19.53
114.00,5.64,33.18,99.36,9.44,10.82
115.00,6.07,33.64,95.06,8.19,14.33
116.00,6.24,32.73,99.62,8.18,8.85
117.00,6.00,32.27,100.29,9.26,9.84
118.00,4.63,34.55,88.58,10.12,23.63
119.00,4.35,35.45,89.94,11.34,24.40
120.00,5.35,31.36,89.56,8.15,19.78
121.00,6.05,33.18,98.32,8.33,10.75
122.00,5.01,32.73,94.56,10.14,15.85
123.00,5.67,33.18,95.85,8.77,13.66
124.00,4.71,35.00,98.79,10.87,14.63
125.00,5.92,33.64,89.79,8.02,19.43
126.00,4.83,32.73,88.23,9.86,21.90
127.00,5.37,30.91,101.84,9.43,12.92
128.00,5.89,33.18,88.54,7.91,20.11
129.00,5.46,32.73,95.33,9.68,14.64
130.00,6.12,33.18,94.15,8.12,14.71
131.00,5.93,34.09,91.57,7.98,18.07
132.00,4.95,32.27,97.89,11.38,13.77
133.00,4.40,35.45,91.59,11.83,23.24
134.00,4.40,35.91,91.98,10.71,22.19
135.00,5.95,32.27,96.29,8.49,12.48
136.00,4.89,32.27,92.76,10.37,17.89
137.00,4.58,37.27,88.45,9.21,25.58
138.00,6.04,32.73,93.86,8.31,14.74
139.00,4.50,34.09,88.26,11.02,24.40
140.00,5.42,32.27,88.12,8.90,21.06
141.00,4.66,32.27,91.55,10.68,19.41
142.00,4.94,35.45,88.74,8.93,23.20
143.00,5.81,32.73,93.74,8.21,14.76
144.00,5.75,32.27,93.75,8.74,15.27
145.00,5.80,32.73,91.31,8.28,17.26
146.00,4.59,32.27,93.23,11.68,18.73
147.00,5.76,33.18,92.30,8.29,16.72
148.00,5.12,35.91,99.58,9.93,13.82
149.00,4.76,35.45,88.00,9.16,24.17
150.00,6.23,32.27,97.62,8.59,11.26
151.00,4.49,32.27,90.33,11.33,21.27
152.00,5.04,32.27,101.30,11.57,13.15
153.00,4.89,33.64,92.24,10.17,19.11
154.00,5.12,35.45,100.67,9.95,13.62
155.00,5.42,32.27,87.68,8.91,21.51
156.00,5.46,32.27,102.73,9.80,12.81
157.00,4.58,33.18,89.60,10.83,21.96
158.00,5.09,31.82,98.35,10.22,12.60
159.00,4.91,35.45,92.77,9.34,19.57
160.00,4.90,34.55,101.16,10.55,13.80
161.00,4.87,32.27,90.36,9.23,19.15
162.00,5.78,32.73,98.19,8.64,10.73
163.00,5.64,33.18,96.90,9.27,13.11
164.00,4.64,33.18,96.65,11.05,15.13
165.00,5.99,32.73,99.91,11.20,11.58
166.00,4.41,32.73,91.02,11.61,20.85
167.00,5.97,34.09,95.99,8.38,14.04
168.00,4.92,35.91,93.22,9.61,19.85
169.00,4.91,33.18,90.65,10.16,20.24
170.00,5.68,33.64,92.44,8.20,16.96
171.00,4.94,35.45,91.27,9.14,20.88
172.00,5.45,37.27,98.85,8.83,14.81
173.00,6.13,32.73,95.70,8.42,13.01
174.00,5.09,30.91,89.61,8.24,20.28
175.00,4.59,32.27,92.86,11.44,18.86
176.00,4.54,33.18,93.79,12.05,18.99
177.00,5.50,33.64,101.11,9.79,12.09
178.00,6.33,32.73,100.08,8.65,9.03
179.00,4.33,32.27,90.42,11.79,21.64
180.00,4.65,36.82,92.81,10.04,21.59
181.00,4.49,34.09,91.39,11.40,21.65
182.00,4.47,35.91,96.25,11.77,18.97
183.00,4.84,32.27,92.03,10.45,18.70
184.00,4.85,35.45,97.85,10.36,15.51
185.00,5.10,31.36,90.01,8.75,19.93
186.00,4.68,32.73,91.49,10.59,19.37
187.00,5.72,31.36,91.89,8.18,17.48
188.00,5.49,32.73,92.60,9.00,16.68
189.00,4.66,35.45,88.70,10.05,24.35
190.00,4.55,32.73,89.18,10.33,21.42
191.00,4.97,35.45,94.28,9.56,18.28
192.00,6.05,33.18,97.74,8.29,11.29
193.00,4.85,35.91,87.77,9.09,24.78
194.00,4.65,35.91,88.06,9.82,25.22
195.00,5.97,33.18,96.54,8.41,12.61
196.00,4.86,34.55,91.10,9.80,20.79
197.00,5.04,35.00,91.34,9.02,20.23
198.00,4.61,33.64,97.12,11.43,15.50
199.00,4.75,34.55,96.39,10.76,16.46
