# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
2.181661564992911639e+00,4.318181818181817988e+01,2.383731567929341794e-02,4.912469706594232832e+01,1.188113671972309682e+01,1.108652415132762095e-02,9.514521506198485667e+01,1.703110391039308169e+01
2.199114857512855181e+00,4.272727272727272663e+01,2.361387386097808447e-02,4.992601151403682991e+01,1.196142102415101860e+01,1.071414264672743491e-02,9.338025367110851960e+01,1.718056670656823925e+01
2.216568150032798723e+00,4.227272727272727337e+01,2.338950012623138355e-02,5.075853398619143775e+01,1.204204759892351007e+01,1.038168632669670376e-02,9.158602506288774237e+01,1.731155378701939185e+01
2.234021442552741821e+00,4.181818181818182012e+01,2.316420722615316133e-02,5.162376109897235921e+01,1.212304415240713240e+01,1.006523289764016046e-02,8.966744567031587110e+01,1.743388592396546244e+01
2.251474735072684918e+00,4.136363636363635976e+01,2.293800839505187247e-02,5.252323542242609733e+01,1.220443900316452357e+01,9.741958361720357007e-03,8.752867571067241670e+01,1.755632884438793084e+01
2.268928027592628460e+00,4.090909090909090651e+01,2.271091681321613098e-02,5.345869328317874647e+01,1.228626113583089285e+01,9.402200537793614643e-03,8.508474080219799873e+01,1.768207963184685738e+01
2.286381320112572002e+00,4.045454545454545325e+01,2.248294562657541379e-02,5.443194530554208654e+01,1.236854025484339559e+01,9.044979712450589709e-03,8.230946069782805807e+01,1.781084934794830588e+01
2.303834612632515100e+00,4.000000000000000000e+01,2.225410792087484033e-02,5.544414069127055456e+01,1.245130684607178928e+01,8.669469707110360676e-03,7.913636357641335906e+01,1.794211658433571444e+01
2.321287905152458197e+00,3.954545454545454675e+01,2.202441671250829694e-02,5.649610804220468907e+01,1.253459224184928011e+01,8.275532843448670656e-03,7.565792107652930554e+01,1.807511831775234867e+01
2.338741197672401295e+00,3.909090909090908639e+01,2.179388493923496012e-02,5.759039050022281003e+01,1.261842868553776853e+01,7.872169919563788004e-03,7.207488204337153093e+01,1.820634190346711279e+01
2.356194490192344837e+00,3.863636363636363313e+01,2.156252545509448199e-02,5.873156670515464128e+01,1.270284940332715706e+01,7.474865246805901912e-03,6.860314432812262453e+01,1.833083737401986824e+01
